prompt_id,theme,detail_level,clip_score_mean,clip_score_std,sharpness_mean,sharpness_std,diversity_clip_image_distance,num_images
B01,biomedical_laboratory,short,30.123448371887207,0.6556738098771382,0.01024851854890585,0.0006946510641423356,0.06706535816192627,3
B02,biomedical_laboratory,medium,33.968489368756615,0.5364908172012013,0.00828262884169817,0.0013787367640431389,0.0604409376780192,3
B03,biomedical_laboratory,detailed,34.1410239537557,0.5777796867105524,0.009989267525573572,0.001301907915282173,0.1001158356666565,3
B04,scientist_portrait,short,31.947145859400432,0.24543760257053396,0.009483967907726765,0.006616544230635395,0.19140968720118204,3
B05,scientist_portrait,medium,34.94298259417216,0.9199018613906764,0.0028533447378625474,0.0008184056578026611,0.10792255401611328,3
B06,scientist_portrait,detailed,36.32915019989014,1.7093770263361878,0.0018313865099723141,0.0006816477947414271,0.12249135971069336,3
B07,autumn_park,short,30.685208241144817,0.813629211208818,0.012505660764873028,0.0019725226083562703,0.04993883768717448,3
B08,autumn_park,medium,32.35310117403666,0.8873904292848366,0.015664194710552692,0.003966190506396379,0.029035905996958416,3
B09,autumn_park,detailed,34.16365087032318,1.2510500947097867,0.0077604250982403755,0.0020486667730530432,0.037299116452534996,3
B10,ant_scene,short,34.95697875817617,1.8060136447710935,0.0061409492045640945,0.0007322335462398581,0.11070831616719563,3
B11,ant_scene,medium,41.748238603274025,0.1925897525071755,0.005453264340758324,0.00042884109876434084,0.08356209595998128,3
B12,ant_scene,detailed,38.66617580254873,1.0208639384128813,0.006114375311881304,0.0006350389134053468,0.16470694541931152,3
B13,monaco_race,short,32.480584581693016,2.073452616037149,0.01985405758023262,0.0038348247204278256,0.10021225611368816,3
B14,monaco_race,medium,30.611222982406616,1.4964638642968602,0.022107135504484177,0.006065296674513979,0.09345990419387817,3
B15,monaco_race,detailed,33.10653269290924,2.5116577619721547,0.017721525703867275,0.003081689995110013,0.1307242512702942,3
