prompt,seed,image_path,num_inference_steps,guidance_scale,height,width,time_seconds,prompt_id,model_id,device,clip_cosine,clip_score,sharpness_laplacian_var
"a realistic portrait of an elderly scientist in a laboratory, soft light, detailed face",1002,outputs\part_a\images\A02_seed1002.png,4,0.0,512,512,9.78994909999892,A02,stabilityai/sdxl-turbo,cuda,0.3582579493522644,35.82579493522644,0.0023806244134902954
"A autumn landscape of a park filled with trees and some people walking. The people are wearing a dark-to-brown color palette, admid falling leaves. An orange setting sun casts an afternoon glow, with a light mist hanging in the air",1005,outputs\part_a\images\A05_seed1005.png,4,0.0,512,512,7.954258199999458,A05,stabilityai/sdxl-turbo,cuda,0.36212480068206787,36.21248006820679,0.010144921019673347
"An aerial view of Monaco's beachfront and nearby treeline, with a Formula 1 race in the background. Midday, clear sunny sky, a few residents watching from windows, no crowds, only two or three cars on the track.",1010,outputs\part_a\images\A10_seed1010.png,4,0.0,512,512,8.908601399998588,A10,stabilityai/sdxl-turbo,cuda,0.31536564230918884,31.536564230918884,0.0210175272077322
